,Unnamed: 0,Date,Matchup,Bookmaker,Team,Moneyline Odds,Estimated Win Percentage,TEAM_NAME,GAME_DATE,Model Win Prob,WL,Difference,Would have profitted
1105,1145,2024-01-13,Boston Celtics vs Houston Rockets,draftkings,Houston Rockets,750,0.1176470588235294,Houston Rockets,2024-01-13,0.6124687,0,0.4948216411764706,False
2054,2128,2024-03-25,Chicago Bulls vs Washington Wizards,draftkings,Chicago Bulls,-950,0.9047619047619048,Chicago Bulls,2024-03-25,0.41024745,0,-0.49451445476190475,True
1184,1228,2024-01-19,Charlotte Hornets vs San Antonio Spurs,draftkings,Charlotte Hornets,-185,0.6491228070175439,Charlotte Hornets,2024-01-19,0.15532736,1,-0.49379544701754385,False
953,987,2024-01-02,Sacramento Kings vs Charlotte Hornets,draftkings,Sacramento Kings,-1650,0.9428571428571428,Sacramento Kings,2024-01-02,0.44932497,0,-0.49353217285714285,True
2344,2429,2024-04-14,Indiana Pacers vs Atlanta Hawks,draftkings,Indiana Pacers,-950,0.9047619047619048,Indiana Pacers,2024-04-14,0.41155556,1,-0.4932063447619048,False
145,150,2023-11-03,Miami Heat vs Washington Wizards,draftkings,Miami Heat,-440,0.8148148148148148,Miami Heat,2023-11-03,0.3220075,1,-0.49280731481481477,False
69,71,2023-10-29,Milwaukee Bucks vs Atlanta Hawks,draftkings,Milwaukee Bucks,-278,0.7354497354497355,Milwaukee Bucks,2023-10-29,0.24460225,0,-0.49084748544973544,True
1468,1521,2024-02-07,Sacramento Kings vs Detroit Pistons,draftkings,Sacramento Kings,-800,0.8888888888888888,Sacramento Kings,2024-02-07,0.40022308,0,-0.48866580888888883,True
1483,1537,2024-02-08,Portland Trail Blazers vs Detroit Pistons,draftkings,Portland Trail Blazers,-218,0.6855345911949685,Portland Trail Blazers,2024-02-08,0.19989319,0,-0.4856414011949685,True
226,233,2023-11-08,Sacramento Kings vs Portland Trail Blazers,draftkings,Sacramento Kings,-325,0.7647058823529411,Sacramento Kings,2023-11-08,0.282854,1,-0.48185188235294113,False
761,789,2023-12-20,Indiana Pacers vs Charlotte Hornets,draftkings,Indiana Pacers,-485,0.8290598290598291,Indiana Pacers,2023-12-20,0.35118958,1,-0.4778702490598291,False
2151,2229,2024-04-01,Indiana Pacers vs Brooklyn Nets,draftkings,Indiana Pacers,-675,0.8709677419354839,Indiana Pacers,2024-04-01,0.3998821,1,-0.47108564193548386,False
1528,1583,2024-02-12,Cleveland Cavaliers vs Philadelphia 76ers,draftkings,Philadelphia 76ers,340,0.2272727272727272,Philadelphia 76ers,2024-02-12,0.69824725,1,0.4709745227272728,True
2293,2376,2024-04-10,Brooklyn Nets vs Toronto Raptors,draftkings,Brooklyn Nets,-485,0.8290598290598291,Brooklyn Nets,2024-04-10,0.3587656,1,-0.4702942290598291,False
2266,2348,2024-04-09,Toronto Raptors vs Indiana Pacers,draftkings,Indiana Pacers,-650,0.8666666666666667,Indiana Pacers,2024-04-09,0.39939442,1,-0.46727224666666667,False
2105,2181,2024-03-29,Washington Wizards vs Detroit Pistons,draftkings,Washington Wizards,-185,0.6491228070175439,Washington Wizards,2024-03-29,0.18246526,0,-0.4666575470175439,True
1603,1661,2024-02-22,Utah Jazz vs Charlotte Hornets,draftkings,Utah Jazz,-485,0.8290598290598291,Utah Jazz,2024-02-22,0.36484128,0,-0.4642185490598291,True
741,769,2023-12-18,Toronto Raptors vs Charlotte Hornets,draftkings,Toronto Raptors,-600,0.8571428571428571,Toronto Raptors,2023-12-18,0.3952148,1,-0.4619280571428571,False
2148,2226,2024-03-31,Sacramento Kings vs Utah Jazz,draftkings,Sacramento Kings,-1050,0.9130434782608696,Sacramento Kings,2024-03-31,0.45662013,1,-0.4564233482608696,False
902,934,2023-12-29,Portland Trail Blazers vs San Antonio Spurs,draftkings,Portland Trail Blazers,-238,0.7041420118343196,Portland Trail Blazers,2023-12-29,0.2482741,1,-0.4558679118343196,False
1811,1876,2024-03-07,Sacramento Kings vs San Antonio Spurs,draftkings,Sacramento Kings,-535,0.84251968503937,Sacramento Kings,2024-03-07,0.386771,1,-0.45574868503937005,False
282,291,2023-11-13,Boston Celtics vs New York Knicks,draftkings,New York Knicks,320,0.238095238095238,New York Knicks,2023-11-13,0.69373095,0,0.45563571190476193,False
2291,2374,2024-04-10,Atlanta Hawks vs Charlotte Hornets,draftkings,Atlanta Hawks,-575,0.8518518518518519,Atlanta Hawks,2024-04-10,0.3970247,0,-0.45482715185185185,True
2183,2262,2024-04-03,Atlanta Hawks vs Detroit Pistons,draftkings,Atlanta Hawks,-700,0.875,Atlanta Hawks,2024-04-03,0.4217163,1,-0.4532837,False
275,284,2023-11-12,Los Angeles Lakers vs Portland Trail Blazers,draftkings,Los Angeles Lakers,-455,0.8198198198198198,Los Angeles Lakers,2023-11-12,0.3717942,1,-0.44802561981981975,False
973,1007,2024-01-03,Utah Jazz vs Detroit Pistons,draftkings,Utah Jazz,-380,0.7916666666666666,Utah Jazz,2024-01-03,0.34668577,1,-0.4449808966666666,False
18,18,2023-10-25,Chicago Bulls vs Oklahoma City Thunder,draftkings,Chicago Bulls,-112,0.5283018867924528,Chicago Bulls,2023-10-25,0.08539362,0,-0.4429082667924528,True
2017,2089,2024-03-22,San Antonio Spurs vs Memphis Grizzlies,draftkings,San Antonio Spurs,-250,0.7142857142857143,San Antonio Spurs,2024-03-22,0.27207616,0,-0.4422095542857143,True
1783,1847,2024-03-05,Denver Nuggets vs Phoenix Suns,draftkings,Phoenix Suns,340,0.2272727272727272,Phoenix Suns,2024-03-05,0.6693987,1,0.44212597272727283,True
1422,1473,2024-02-04,Charlotte Hornets vs Indiana Pacers,draftkings,Indiana Pacers,-440,0.8148148148148148,Indiana Pacers,2024-02-04,0.37326434,1,-0.4415504748148148,False
86,89,2023-10-30,Toronto Raptors vs Portland Trail Blazers,draftkings,Toronto Raptors,-305,0.7530864197530864,Toronto Raptors,2023-10-30,0.31407937,0,-0.4390070497530864,True
1103,1143,2024-01-12,Denver Nuggets vs New Orleans Pelicans,draftkings,New Orleans Pelicans,270,0.2702702702702703,New Orleans Pelicans,2024-01-12,0.7074218,0,0.4371515297297297,False
59,61,2023-10-28,Cleveland Cavaliers vs Indiana Pacers,draftkings,Indiana Pacers,136,0.423728813559322,Indiana Pacers,2023-10-28,0.860135,1,0.43640618644067797,True
2081,2156,2024-03-27,Atlanta Hawks vs Portland Trail Blazers,draftkings,Atlanta Hawks,-550,0.8461538461538461,Atlanta Hawks,2024-03-27,0.41475275,1,-0.43140109615384614,False
265,274,2023-11-12,Chicago Bulls vs Detroit Pistons,draftkings,Chicago Bulls,-310,0.7560975609756098,Chicago Bulls,2023-11-12,0.32493588,1,-0.43116168097560975,False
511,528,2023-11-30,Cleveland Cavaliers vs Portland Trail Blazers,draftkings,Cleveland Cavaliers,-600,0.8571428571428571,Cleveland Cavaliers,2023-11-30,0.42761248,0,-0.4295303771428571,True
4,4,2023-10-25,Charlotte Hornets vs Atlanta Hawks,draftkings,Atlanta Hawks,-170,0.6296296296296297,Atlanta Hawks,2023-10-25,0.20036414,0,-0.4292654896296296,True
1676,1736,2024-02-27,Chicago Bulls vs Detroit Pistons,draftkings,Chicago Bulls,-625,0.8620689655172413,Chicago Bulls,2024-02-27,0.43282795,0,-0.4292410155172413,True
1980,2051,2024-03-19,Minnesota Timberwolves vs Denver Nuggets,draftkings,Minnesota Timberwolves,240,0.2941176470588235,Minnesota Timberwolves,2024-03-19,0.7228246,0,0.42870695294117656,False
690,716,2023-12-15,Washington Wizards vs Indiana Pacers,draftkings,Indiana Pacers,-345,0.7752808988764045,Indiana Pacers,2023-12-15,0.34901303,0,-0.4262678688764045,True
1047,1085,2024-01-09,Detroit Pistons vs Sacramento Kings,draftkings,Sacramento Kings,-575,0.8518518518518519,Sacramento Kings,2024-01-09,0.42698276,1,-0.42486909185185184,False
98,101,2023-10-30,Los Angeles Lakers vs Orlando Magic,draftkings,Orlando Magic,130,0.4347826086956521,Orlando Magic,2023-10-30,0.85871106,0,0.42392845130434786,False
40,41,2023-10-27,Cleveland Cavaliers vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,130,0.4347826086956521,Oklahoma City Thunder,2023-10-27,0.85844404,1,0.42366143130434786,True
2371,2457,2024-04-14,Sacramento Kings vs Portland Trail Blazers,draftkings,Sacramento Kings,-1450,0.935483870967742,Sacramento Kings,2024-04-14,0.5134113,1,-0.422072570967742,False
2120,2197,2024-03-29,Denver Nuggets vs Minnesota Timberwolves,draftkings,Minnesota Timberwolves,220,0.3125,Minnesota Timberwolves,2024-03-29,0.7342396,1,0.4217396,True
617,637,2023-12-08,Denver Nuggets vs Houston Rockets,draftkings,Houston Rockets,285,0.2597402597402597,Houston Rockets,2023-12-08,0.68063444,1,0.42089418025974024,True
1998,2070,2024-03-21,Washington Wizards vs Sacramento Kings,draftkings,Sacramento Kings,-650,0.8666666666666667,Sacramento Kings,2024-03-21,0.4468649,0,-0.4198017666666667,True
277,286,2023-11-13,Toronto Raptors vs Washington Wizards,draftkings,Toronto Raptors,-440,0.8148148148148148,Toronto Raptors,2023-11-13,0.39575303,1,-0.41906178481481476,False
2231,2312,2024-04-06,Brooklyn Nets vs Detroit Pistons,draftkings,Brooklyn Nets,-360,0.782608695652174,Brooklyn Nets,2024-04-06,0.36356226,1,-0.4190464356521739,False
1755,1818,2024-03-04,Brooklyn Nets vs Memphis Grizzlies,draftkings,Brooklyn Nets,-380,0.7916666666666666,Brooklyn Nets,2024-03-04,0.37291306,0,-0.4187536066666666,True
1932,2002,2024-03-16,Chicago Bulls vs Washington Wizards,draftkings,Chicago Bulls,-485,0.8290598290598291,Chicago Bulls,2024-03-16,0.41055787,1,-0.4185019590598291,False
1155,1197,2024-01-16,Los Angeles Clippers vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,170,0.3703703703703703,Oklahoma City Thunder,2024-01-16,0.78852,0,0.4181496296296297,False
1984,2055,2024-03-20,Detroit Pistons vs Indiana Pacers,draftkings,Indiana Pacers,-425,0.8095238095238095,Indiana Pacers,2024-03-20,0.39171603,1,-0.41780777952380954,False
504,520,2023-11-29,Memphis Grizzlies vs Utah Jazz,draftkings,Memphis Grizzlies,-185,0.6491228070175439,Memphis Grizzlies,2023-11-29,0.23503089,1,-0.4140919170175439,False
1316,1364,2024-01-28,Indiana Pacers vs Memphis Grizzlies,draftkings,Indiana Pacers,-380,0.7916666666666666,Indiana Pacers,2024-01-28,0.37773797,1,-0.41392869666666665,False
882,914,2023-12-28,Portland Trail Blazers vs San Antonio Spurs,draftkings,Portland Trail Blazers,-185,0.6491228070175439,Portland Trail Blazers,2023-12-28,0.23542984,0,-0.4136929670175439,True
1305,1353,2024-01-27,Charlotte Hornets vs Utah Jazz,draftkings,Utah Jazz,-455,0.8198198198198198,Utah Jazz,2024-01-27,0.40859184,1,-0.4112279798198198,False
1881,1949,2024-03-12,Los Angeles Clippers vs Minnesota Timberwolves,draftkings,Minnesota Timberwolves,225,0.3076923076923077,Minnesota Timberwolves,2024-03-12,0.71813583,1,0.4104435223076923,True
111,115,2023-11-01,Miami Heat vs Brooklyn Nets,draftkings,Miami Heat,-238,0.7041420118343196,Miami Heat,2023-11-01,0.2939618,0,-0.4101802118343196,True
1608,1666,2024-02-22,Sacramento Kings vs San Antonio Spurs,draftkings,Sacramento Kings,-410,0.803921568627451,Sacramento Kings,2024-02-22,0.3941412,1,-0.409780368627451,False
1654,1713,2024-02-25,Portland Trail Blazers vs Charlotte Hornets,draftkings,Portland Trail Blazers,-148,0.5967741935483871,Portland Trail Blazers,2024-02-25,0.18702349,0,-0.40975070354838716,True
318,328,2023-11-15,Portland Trail Blazers vs Cleveland Cavaliers,draftkings,Cleveland Cavaliers,-440,0.8148148148148148,Cleveland Cavaliers,2023-11-15,0.40529814,1,-0.4095166748148148,False
1251,1297,2024-01-24,Detroit Pistons vs Charlotte Hornets,draftkings,Detroit Pistons,-148,0.5967741935483871,Detroit Pistons,2024-01-24,0.18778752,1,-0.40898667354838714,False
2069,2144,2024-03-26,Milwaukee Bucks vs Los Angeles Lakers,draftkings,Los Angeles Lakers,320,0.238095238095238,Los Angeles Lakers,2024-03-26,0.6461748,1,0.408079561904762,True
43,44,2023-10-27,San Antonio Spurs vs Houston Rockets,draftkings,Houston Rockets,110,0.4761904761904761,Houston Rockets,2023-10-27,0.068250924,0,-0.4079395521904761,True
193,199,2023-11-06,Minnesota Timberwolves vs Boston Celtics,draftkings,Minnesota Timberwolves,142,0.4132231404958678,Minnesota Timberwolves,2023-11-06,0.8205104,1,0.4072872595041322,True
1377,1427,2024-02-01,Boston Celtics vs Los Angeles Lakers,draftkings,Los Angeles Lakers,425,0.1904761904761904,Los Angeles Lakers,2024-02-01,0.5962125,1,0.4057363095238096,True
52,54,2023-10-28,Detroit Pistons vs Chicago Bulls,draftkings,Chicago Bulls,-118,0.5412844036697247,Chicago Bulls,2023-10-28,0.13647203,0,-0.4048123736697248,True
1741,1803,2024-03-03,Dallas Mavericks vs Philadelphia 76ers,draftkings,Philadelphia 76ers,285,0.2597402597402597,Philadelphia 76ers,2024-03-03,0.6645403,1,0.40480004025974026,True
1061,1099,2024-01-10,Detroit Pistons vs San Antonio Spurs,draftkings,San Antonio Spurs,-166,0.6240601503759399,San Antonio Spurs,2024-01-10,0.22023709,1,-0.40382306037593985,False
1814,1879,2024-03-08,Washington Wizards vs Charlotte Hornets,draftkings,Washington Wizards,-142,0.5867768595041323,Washington Wizards,2024-03-08,0.185011,1,-0.40176585950413224,False
298,307,2023-11-14,Utah Jazz vs Portland Trail Blazers,draftkings,Utah Jazz,-258,0.7206703910614525,Utah Jazz,2023-11-14,0.31906825,1,-0.4016021410614525,False
1929,1999,2024-03-16,Indiana Pacers vs Brooklyn Nets,draftkings,Indiana Pacers,-380,0.7916666666666666,Indiana Pacers,2024-03-16,0.39027488,1,-0.40139178666666664,False
2362,2447,2024-04-14,San Antonio Spurs vs Detroit Pistons,draftkings,San Antonio Spurs,-230,0.696969696969697,San Antonio Spurs,2024-04-14,0.29597166,1,-0.400998036969697,False
531,549,2023-12-01,Boston Celtics vs Philadelphia 76ers,draftkings,Philadelphia 76ers,210,0.3225806451612903,Philadelphia 76ers,2023-12-01,0.7235482,0,0.40096755483870966,False
786,815,2023-12-21,Memphis Grizzlies vs Indiana Pacers,draftkings,Memphis Grizzlies,-185,0.6491228070175439,Memphis Grizzlies,2023-12-21,0.24837458,1,-0.40074822701754387,False
1077,1116,2024-01-11,Milwaukee Bucks vs Boston Celtics,draftkings,Boston Celtics,210,0.3225806451612903,Boston Celtics,2024-01-11,0.7230035,0,0.4004228548387097,False
438,451,2023-11-24,Indiana Pacers vs Detroit Pistons,draftkings,Indiana Pacers,-355,0.7802197802197802,Indiana Pacers,2023-11-24,0.37987155,1,-0.4003482302197802,False
1328,1377,2024-01-29,Boston Celtics vs New Orleans Pelicans,draftkings,New Orleans Pelicans,260,0.2777777777777778,New Orleans Pelicans,2024-01-29,0.6779763,0,0.4001985222222222,False
8,8,2023-10-25,Orlando Magic vs Houston Rockets,draftkings,Houston Rockets,142,0.4132231404958678,Houston Rockets,2023-10-25,0.013537883,0,-0.3996852574958678,True
1295,1342,2024-01-27,Detroit Pistons vs Washington Wizards,draftkings,Detroit Pistons,-142,0.5867768595041323,Detroit Pistons,2024-01-27,0.18794592,0,-0.3988309395041323,True
1860,1927,2024-03-11,Detroit Pistons vs Charlotte Hornets,draftkings,Detroit Pistons,-166,0.6240601503759399,Detroit Pistons,2024-03-11,0.22540483,1,-0.39865532037593987,False
2179,2258,2024-04-03,Charlotte Hornets vs Portland Trail Blazers,draftkings,Charlotte Hornets,-130,0.5652173913043478,Charlotte Hornets,2024-04-03,0.16670612,0,-0.39851127130434777,True
994,1029,2024-01-05,Chicago Bulls vs Charlotte Hornets,draftkings,Chicago Bulls,-360,0.782608695652174,Chicago Bulls,2024-01-05,0.3842273,1,-0.39838139565217395,False
344,354,2023-11-17,Los Angeles Clippers vs Houston Rockets,draftkings,Houston Rockets,195,0.3389830508474576,Houston Rockets,2023-11-17,0.7371847,0,0.3982016491525424,False
1339,1388,2024-01-29,San Antonio Spurs vs Washington Wizards,draftkings,San Antonio Spurs,-180,0.6428571428571429,San Antonio Spurs,2024-01-29,0.24854566,0,-0.3943114828571429,True
1986,2057,2024-03-20,Boston Celtics vs Milwaukee Bucks,draftkings,Milwaukee Bucks,285,0.2597402597402597,Milwaukee Bucks,2024-03-20,0.6537015,0,0.39396124025974033,False
2029,2102,2024-03-23,Atlanta Hawks vs Charlotte Hornets,draftkings,Atlanta Hawks,-395,0.797979797979798,Atlanta Hawks,2024-03-23,0.40499654,1,-0.392983257979798,False
1300,1347,2024-01-27,Denver Nuggets vs Philadelphia 76ers,draftkings,Philadelphia 76ers,164,0.3787878787878788,Philadelphia 76ers,2024-01-27,0.77175266,0,0.3929647812121212,False
1987,2058,2024-03-20,Toronto Raptors vs Sacramento Kings,draftkings,Sacramento Kings,-575,0.8518518518518519,Sacramento Kings,2024-03-20,0.45979774,1,-0.39205411185185185,False
1506,1561,2024-02-10,Charlotte Hornets vs Memphis Grizzlies,draftkings,Memphis Grizzlies,-170,0.6296296296296297,Memphis Grizzlies,2024-02-10,0.23903312,0,-0.39059650962962966,True
2007,2079,2024-03-21,Denver Nuggets vs New York Knicks,draftkings,New York Knicks,320,0.238095238095238,New York Knicks,2024-03-21,0.6276338,0,0.389538561904762,False
473,488,2023-11-27,Detroit Pistons vs Washington Wizards,draftkings,Detroit Pistons,-166,0.6240601503759399,Detroit Pistons,2023-11-27,0.23463337,0,-0.38942678037593986,True
1469,1523,2024-02-07,Los Angeles Clippers vs New Orleans Pelicans,draftkings,New Orleans Pelicans,230,0.303030303030303,New Orleans Pelicans,2024-02-07,0.69204986,1,0.38901955696969703,True
717,743,2023-12-16,Denver Nuggets vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,170,0.3703703703703703,Oklahoma City Thunder,2023-12-16,0.7592426,1,0.3888722296296297,True
181,186,2023-11-06,Indiana Pacers vs San Antonio Spurs,draftkings,Indiana Pacers,-310,0.7560975609756098,Indiana Pacers,2023-11-06,0.36743417,1,-0.38866339097560976,False
1968,2039,2024-03-18,Sacramento Kings vs Memphis Grizzlies,draftkings,Sacramento Kings,-440,0.8148148148148148,Sacramento Kings,2024-03-18,0.4263173,1,-0.38849751481481476,False
1876,1943,2024-03-12,Memphis Grizzlies vs Washington Wizards,draftkings,Washington Wizards,-135,0.574468085106383,Washington Wizards,2024-03-12,0.18607952,0,-0.38838856510638303,True
792,822,2023-12-21,Portland Trail Blazers vs Washington Wizards,draftkings,Portland Trail Blazers,-162,0.6183206106870229,Portland Trail Blazers,2023-12-21,0.23063534,0,-0.38768527068702296,True
2289,2372,2024-04-10,Cleveland Cavaliers vs Memphis Grizzlies,draftkings,Cleveland Cavaliers,-2100,0.9545454545454546,Cleveland Cavaliers,2024-04-10,0.568206,1,-0.3863394545454546,False
106,110,2023-11-01,Toronto Raptors vs Milwaukee Bucks,draftkings,Milwaukee Bucks,-205,0.6721311475409836,Milwaukee Bucks,2023-11-01,0.2860042,0,-0.3861269475409836,True
1746,1809,2024-03-03,Toronto Raptors vs Charlotte Hornets,draftkings,Toronto Raptors,-310,0.7560975609756098,Toronto Raptors,2024-03-03,0.37051833,1,-0.38557923097560975,False
119,123,2023-11-01,Houston Rockets vs Charlotte Hornets,draftkings,Houston Rockets,-135,0.574468085106383,Houston Rockets,2023-11-01,0.18940523,1,-0.38506285510638305,False
1886,1954,2024-03-13,Detroit Pistons vs Toronto Raptors,draftkings,Detroit Pistons,-162,0.6183206106870229,Detroit Pistons,2024-03-13,0.2335329,1,-0.38478771068702294,False
19,19,2023-10-25,Chicago Bulls vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,-108,0.5192307692307693,Oklahoma City Thunder,2023-10-25,0.9040112,1,0.38478043076923074,True
967,1001,2024-01-03,Minnesota Timberwolves vs New Orleans Pelicans,draftkings,New Orleans Pelicans,230,0.303030303030303,New Orleans Pelicans,2024-01-03,0.6876292,1,0.38459889696969707,True
1892,1960,2024-03-13,Memphis Grizzlies vs Charlotte Hornets,draftkings,Charlotte Hornets,-130,0.5652173913043478,Charlotte Hornets,2024-03-13,0.18115938,1,-0.3840580113043478,False
738,766,2023-12-18,Atlanta Hawks vs Detroit Pistons,draftkings,Atlanta Hawks,-550,0.8461538461538461,Atlanta Hawks,2023-12-18,0.46250963,1,-0.38364421615384614,False
239,246,2023-11-10,Memphis Grizzlies vs Utah Jazz,draftkings,Memphis Grizzlies,-185,0.6491228070175439,Memphis Grizzlies,2023-11-10,0.26638746,0,-0.38273534701754386,True
901,933,2023-12-29,Denver Nuggets vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,136,0.423728813559322,Oklahoma City Thunder,2023-12-29,0.8063653,1,0.38263648644067794,True
103,107,2023-10-31,Los Angeles Clippers vs Orlando Magic,draftkings,Orlando Magic,240,0.2941176470588235,Orlando Magic,2023-10-31,0.67645955,0,0.38234190294117654,False
2248,2330,2024-04-07,Phoenix Suns vs New Orleans Pelicans,draftkings,New Orleans Pelicans,210,0.3225806451612903,New Orleans Pelicans,2024-04-07,0.7046072,1,0.3820265548387097,True
142,147,2023-11-03,Chicago Bulls vs Brooklyn Nets,draftkings,Chicago Bulls,-185,0.6491228070175439,Chicago Bulls,2023-11-03,0.2681408,0,-0.38098200701754387,True
750,778,2023-12-18,Sacramento Kings vs Washington Wizards,draftkings,Sacramento Kings,-675,0.8709677419354839,Sacramento Kings,2023-12-18,0.4908102,1,-0.3801575419354839,False
156,161,2023-11-04,Indiana Pacers vs Charlotte Hornets,draftkings,Indiana Pacers,-162,0.6183206106870229,Indiana Pacers,2023-11-04,0.23819742,0,-0.38012319068702294,True
1203,1247,2024-01-20,Washington Wizards vs San Antonio Spurs,draftkings,Washington Wizards,-135,0.574468085106383,Washington Wizards,2024-01-20,0.19469933,0,-0.379768755106383,True
2211,2291,2024-04-05,Washington Wizards vs Portland Trail Blazers,draftkings,Washington Wizards,-130,0.5652173913043478,Washington Wizards,2024-04-05,0.18619432,0,-0.37902307130434776,True
389,401,2023-11-20,Golden State Warriors vs Houston Rockets,draftkings,Houston Rockets,240,0.2941176470588235,Houston Rockets,2023-11-20,0.6727169,0,0.37859925294117647,False
1220,1265,2024-01-21,Houston Rockets vs Boston Celtics,draftkings,Houston Rockets,380,0.2083333333333333,Houston Rockets,2024-01-21,0.5868844,0,0.3785510666666667,False
418,431,2023-11-22,Minnesota Timberwolves vs Philadelphia 76ers,draftkings,Philadelphia 76ers,180,0.3571428571428571,Philadelphia 76ers,2023-11-22,0.7353027,0,0.3781598428571429,False
2304,2388,2024-04-11,Detroit Pistons vs Chicago Bulls,draftkings,Chicago Bulls,-425,0.8095238095238095,Chicago Bulls,2024-04-11,0.4313839,1,-0.37813990952380955,False
1604,1662,2024-02-22,Denver Nuggets vs Washington Wizards,draftkings,Denver Nuggets,-1200,0.9230769230769232,Denver Nuggets,2024-02-22,0.5460548,1,-0.3770221230769233,False
2302,2385,2024-04-10,Denver Nuggets vs Minnesota Timberwolves,draftkings,Minnesota Timberwolves,180,0.3571428571428571,Minnesota Timberwolves,2024-04-10,0.7338681,0,0.37672524285714293,False
2209,2289,2024-04-05,Indiana Pacers vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,170,0.3703703703703703,Oklahoma City Thunder,2024-04-05,0.74682987,0,0.3764594996296297,False
495,511,2023-11-28,Dallas Mavericks vs Houston Rockets,draftkings,Houston Rockets,180,0.3571428571428571,Houston Rockets,2023-11-28,0.7334621,0,0.3763192428571429,False
1001,1037,2024-01-05,Denver Nuggets vs Orlando Magic,draftkings,Orlando Magic,410,0.196078431372549,Orlando Magic,2024-01-05,0.57107604,1,0.374997608627451,True
41,42,2023-10-27,Chicago Bulls vs Toronto Raptors,draftkings,Chicago Bulls,-130,0.5652173913043478,Chicago Bulls,2023-10-27,0.1909679,1,-0.3742494913043478,False
2037,2111,2024-03-24,Los Angeles Clippers vs Philadelphia 76ers,draftkings,Philadelphia 76ers,360,0.217391304347826,Philadelphia 76ers,2024-03-24,0.591307,1,0.37391569565217403,True
201,207,2023-11-08,Philadelphia 76ers vs Boston Celtics,draftkings,Philadelphia 76ers,114,0.4672897196261682,Philadelphia 76ers,2023-11-08,0.8402586,1,0.37296888037383175,True
722,749,2023-12-17,Boston Celtics vs Orlando Magic,draftkings,Orlando Magic,280,0.2631578947368421,Orlando Magic,2023-12-17,0.63551414,0,0.37235624526315786,False
1137,1178,2024-01-15,Atlanta Hawks vs San Antonio Spurs,draftkings,Atlanta Hawks,-310,0.7560975609756098,Atlanta Hawks,2024-01-15,0.38426208,1,-0.37183548097560976,False
2097,2173,2024-03-27,Denver Nuggets vs Phoenix Suns,draftkings,Phoenix Suns,240,0.2941176470588235,Phoenix Suns,2024-03-27,0.665534,1,0.3714163529411765,True
1771,1835,2024-03-05,Cleveland Cavaliers vs Boston Celtics,draftkings,Cleveland Cavaliers,260,0.2777777777777778,Cleveland Cavaliers,2024-03-05,0.64890766,1,0.3711298822222222,True
683,708,2023-12-14,Portland Trail Blazers vs Utah Jazz,draftkings,Portland Trail Blazers,-135,0.574468085106383,Portland Trail Blazers,2023-12-14,0.20340878,0,-0.371059305106383,True
838,869,2023-12-25,Miami Heat vs Philadelphia 76ers,draftkings,Philadelphia 76ers,124,0.4464285714285714,Philadelphia 76ers,2023-12-25,0.8169167,0,0.37048812857142865,False
1106,1146,2024-01-13,Atlanta Hawks vs Washington Wizards,draftkings,Atlanta Hawks,-290,0.7435897435897436,Atlanta Hawks,2024-01-13,0.37368053,0,-0.3699092135897436,True
